height,weight,years,country
72.0,165.0,,MEX
72.0,190.0,45.9234588572,USA
72.0,180.0,,USA
70.0,215.0,39.6357876243,CAN
69.0,150.0,34.1590752955,USA
71.0,195.0,,ZAF
61.0,135.0,26.4631848846,USA
65.0,150.0,27.6686643366,JPN
66.0,154.0,48.0412670764,JPN
,,,MYS
68.0,165.0,,USA
74.0,185.0,47.1371574873,USA
74.0,,,USA
,,,USA
72.0,181.0,41.8796232407,USA
74.0,192.0,42.6604451586,SCT
72.0,185.0,,USA
72.0,200.0,,USA
69.0,180.0,48.9453766654,USA
68.0,200.0,41.8138698161,USA
69.0,180.0,25.8248287202,USA
,,,USA
70.0,160.0,37.4686643366,ESP
,,,ESP
71.0,182.0,41.2714040627,AUS
,,,USA
,,,
71.0,175.0,33.808390364,USA
73.0,180.0,23.0686643367,USA
71.0,190.0,39.6303081723,USA
,,,USA
,,,USA
78.0,225.0,31.4878424188,USA
75.0,180.0,32.0467465284,USA
70.0,155.0,45.5453766654,USA
76.0,200.0,49.1097602271,USA
,,,ITA
72.0,175.0,25.5371574873,USA
,,,USA
,,31.400171186,AUS
,,,USA
69.0,175.0,39.0631848846,CAN
,,,USA
72.0,200.0,48.9590752956,USA
71.0,160.0,30.7618150216,USA
72.0,175.0,,USA
76.0,185.0,27.600171186,CAN
74.0,195.0,37.6275684463,USA
,,29.1727739257,ARG
,,,USA
72.0,185.0,43.0467465284,AUS
68.0,155.0,31.9398972134,USA
,,,USA
68.0,160.0,38.6714040627,ARG
74.0,210.0,34.1179794052,USA
,,,USA
72.0,206.0,47.6851026928,ARG
72.0,,25.6138698161,USA
71.0,185.0,48.405650638,ZAF
72.0,170.0,36.1590752956,USA
73.0,235.0,43.1207191312,USA
74.0,175.0,23.202910912,AUS
70.0,175.0,38.1700341997,USA
,,25.8878424189,PRT
74.0,180.0,46.0933218709,USA
71.0,169.0,29.0686643367,ARG
69.0,190.0,,USA
72.0,171.0,29.101541049,ZAF
,,,USA
,,,USA
,,23.4905821449,MYS
69.0,,27.5809931038,USA
68.0,175.0,42.1316780353,AUS
74.0,176.0,46.3618150216,AUS
70.0,170.0,,CAN
,,,USA
,,,USA
69.0,,26.7645547476,USA
74.0,177.0,33.9234588572,AUS
,,,USA
70.0,142.0,44.4549657066,ENG
,,24.7782533778,ARG
,,,USA
72.0,185.0,47.304280775,SWE
,,,
71.0,158.0,,FRA
,,,SCT
72.0,175.0,27.400171186,USA
72.0,260.0,40.7426369394,USA
74.0,185.0,35.096061597,USA
70.0,170.0,,USA
73.0,170.0,40.594691734,USA
72.0,185.0,,USA
,,,CAN
76.0,165.0,29.9782533778,USA
69.0,157.0,29.6494862545,CAN
,,,USA
,,26.2659246107,USA
73.0,180.0,35.6522259805,KOR
70.0,175.0,28.3837328299,USA
,,,USA
,,,USA
71.0,,,USA
,,,USA
,,23.701541049,CAN
73.0,195.0,,USA
,,,USA
70.0,170.0,,USA
71.0,180.0,36.1481163915,USA
,,,USA
,,,USA
,,26.8549657066,DNK
72.0,172.0,43.2768835148,DNK
72.0,182.0,32.1371574874,GBR
75.0,187.0,39.7344177614,SWE
,,,USA
,,,USA
67.0,150.0,30.4357876244,USA
73.0,196.0,45.8330478984,IRL
73.0,175.0,36.6138698162,USA
,,,USA
,,,USA
70.0,190.0,48.9070205011,USA
69.0,150.0,,USA
76.0,190.0,,USA
,,,USA
,,,
73.0,181.0,40.591952008,FRA
66.0,180.0,,USA
72.0,185.0,,USA
,,,USA
73.0,170.0,38.0330478984,CAN
72.0,152.0,34.2823629669,ENG
75.0,,26.5234588573,USA
72.0,191.0,47.4440068025,SWE
73.0,215.0,50.4549657066,USA
72.0,210.0,47.1672944737,USA
,,,USA
,,24.5289383093,CAN
72.0,170.0,43.8741437888,AUS
73.0,,,NZL
72.0,165.0,,USA
71.0,,,USA
72.0,185.0,28.2056506381,USA
75.0,190.0,42.2440068025,USA
68.0,150.0,45.0029109121,AUS
